p.person_id,p.person_name,job.report_year,job.job_name,job.monthly_salary,job.job_id
75,"Jusuf Kalamperović",2013,"ČLAN BORDA DIREKTORA ""MONTEPUT"" - Postavljena od: MONTEPUT - visina mjesecne zarade 243 €",,188
76,"Mr Milutin Simović",2013,"POSLANIK SKUPŠTINE CRNE GORE - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 1700 €",,189
76,"Mr Milutin Simović",2013,"POSLANIK SKUPŠTINE CRNE GORE - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 1700 €",,190
77,"Raško Konjević",2012,"MINISTAR U VLADI CRNE GORE - Postavljena od: VLADA CG - visina mjesecne zarade 1466 €",,191
78,"Novica Stanić",2011,"POSLANIK U SKUPŠTINI CRNE GORE - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 1500 €",,192
78,"Novica Stanić",2011,"POSLANIK U SKUPŠTINI CRNE GORE - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 1500 €",,193
79,"Hajran Kalač",2007,"POSLANIK U SKUPŠTINI RCG",,194
79,"Hajran Kalač",2007,"POSLANIK U SKUPŠTINI RCG",,195
79,"Hajran Kalač",2007,"POSLANIK U SKUPŠTINI RCG",,196
2,"Marija Vučinović",2011,"ODBORNIK - Postavljena od: SO TIVAT - visina mjesecne zarade 130 €",,197
80,"Srða Božović",2009,POSLANIK,,198
164,"Srđa Božović",2009,POSLANIK,,199
80,"Srða Božović",2009,POSLANIK,,200
164,"Srđa Božović",2009,POSLANIK,,201
80,"Srða Božović",2009,POSLANIK,,202
164,"Srđa Božović",2009,POSLANIK,,203
81,"Slavoljub Stijepović",2008,"POTPREDSJEDNIK SKUPŠTINE CRNE GORE",,204
81,"Slavoljub Stijepović",2008,"POTPREDSJEDNIK SKUPŠTINE CRNE GORE",,205
2,"Marija Vučinović",2012,"ODBORNIK - Postavljena od: SO TIVAT - visina mjesecne zarade 137",,206
82,"Zvonko Vuković",2013,"PREDSJEDNIK SO ANDRIJEVICA (VOLONTERSKI) - Postavljena od: SO ANDRIJEVICA - visina mjesecne zarade 400 €",,207
82,"Zvonko Vuković",2013,"PREDSJEDNIK SO ANDRIJEVICA (VOLONTERSKI) - Postavljena od: SO ANDRIJEVICA - visina mjesecne zarade 400 €",,208
83,"Miraš Radović",2009,"MINISTAR PRAVDE",,209
83,"Miraš Radović",2009,"MINISTAR PRAVDE",,210
83,"Miraš Radović",2009,"MINISTAR PRAVDE",,211
84,"Borislav Banović",2014,"POSLANIK - Postavljena od: SKUPŠTINA CG - visina mjesecne zarade 1.215 €",,212
84,"Borislav Banović",2014,"POSLANIK - Postavljena od: SKUPŠTINA CG - visina mjesecne zarade 1.215 €",,213
85,"Antonija Rajković",2014,"PREDSJEDNK OD - Postavljena od: ZU SPECIJALNA BOLNICA ZA PSIHIJATRIJU KOTOR - visina mjesecne zarade /",,214
86,"Nikola Gegaj",2006,"POSLANIK U SKUPŠTINI SCG",,215
87,"Miodrag Iličković",2013,"SUDIJA - Postavljena od: USTAVNI SUD CG - visina mjesecne zarade 1320 €",,216
71,"Branimir Gvozdenović",2011,"MINISTAR U VLADI CRNE GORE - Postavljena od: MINISTARSTVO UREĐENJA PROSTORA I ZAŠTITE ŽIVOTNE SREDINE - visina mjesecne zarade /",,217
71,"Branimir Gvozdenović",2011,"MINISTAR U VLADI CRNE GORE - Postavljena od: MINISTARSTVO UREĐENJA PROSTORA I ZAŠTITE ŽIVOTNE SREDINE - visina mjesecne zarade /",,218
88,"Božo Nikolić",2006,"POSLANIK U SKUPŠTINI RCG",,219
22,"Zoran Gospić",2013,"PREDSJEDNIK ODBORA DIREKTORA - Postavljena od: RUDNIK UGLJA AD - PLJEVLJA - visina mjesecne zarade 2533.73 €",,220
22,"Zoran Gospić",2013,"PREDSJEDNIK ODBORA DIREKTORA - Postavljena od: RUDNIK UGLJA AD - PLJEVLJA - visina mjesecne zarade 2533.73 €",,221
29,"Boro Vučinić",2013,"DIREKTOR AGENCIJE ZA NACIONALNU BEZBJEDNOST - Postavljena od: AGENCIJA ZA NACIONALNU BEZBJEDNOST - visina mjesecne zarade 1.770,68 €",,222
29,"Boro Vučinić",2013,"DIREKTOR AGENCIJE ZA NACIONALNU BEZBJEDNOST - Postavljena od: AGENCIJA ZA NACIONALNU BEZBJEDNOST - visina mjesecne zarade 1.770,68 €",,223
29,"Boro Vučinić",2013,"DIREKTOR AGENCIJE ZA NACIONALNU BEZBJEDNOST - Postavljena od: AGENCIJA ZA NACIONALNU BEZBJEDNOST - visina mjesecne zarade 1.770,68 €",,224
11,"Dr. Milutin Vukić",2007,"POSLANIK U SKUPŠTINI RCG","177, 53 €",225
89,"Janko Vučinić",2012,"POSLANIK - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade nadoknada za Novembar je iznosila 1168 €",,226
89,"Janko Vučinić",2012,"POSLANIK - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade nadoknada za Novembar je iznosila 1168 €",,227
4,"Slaven Radunović",2015,"POSLANIK - Postavljena od: SKUPŠTINA CG - visina mjesecne zarade 1512,10 €(1212,10 € +300 € NADOK.KAO PREDSJEDNIKU ODBORA)",,228
4,"Slaven Radunović",2015,"POSLANIK - Postavljena od: SKUPŠTINA CG - visina mjesecne zarade 1512,10 €(1212,10 € +300 € NADOK.KAO PREDSJEDNIKU ODBORA)",,229
90,"Vujica Lazović",2011,"POTPREDSJEDNIK VLADE I MINISTAR ZA INFORMACIONO DRUŠTVO - Postavljena od: VLADA CRNE GORE - visina mjesecne zarade 1300 €(+ 900 € mjesečni bonus u skladu sa odlukom Vlade)",,230
91,"Ferhat Dinoša",2005,"POSLANIK U SKUPŠTINI RCG",,231
13,"Rifat Rastoder",2012,"POTPREDSJEDNIK SKUPŠTINE CRNE GORE - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 1489.45 € + 300 € (Nadoknada za rad u Odborima i kolegijumima)",,232
13,"Rifat Rastoder",2012,"POTPREDSJEDNIK SKUPŠTINE CRNE GORE - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 1489.45 € + 300 € (Nadoknada za rad u Odborima i kolegijumima)",,233
92,"Goran Tuponja",2014,"POSLANIK - Postavljena od: SKUPŠTINA CG - visina mjesecne zarade 1.111 €",,234
92,"Goran Tuponja",2014,"POSLANIK - Postavljena od: SKUPŠTINA CG - visina mjesecne zarade 1.111 €",,235
43,"Emin Duraković",2007,"POSLANIK U SKUPŠTINI RCG",,236
10,"Kemal Purišić",2013,"POSLANIK (fun.prestala 6,11,2012 god.) - Postavljena od: SKUPŠTINA CG - visina mjesecne zarade 1114,14 €",,237
10,"Kemal Purišić",2013,"POSLANIK (fun.prestala 6,11,2012 god.) - Postavljena od: SKUPŠTINA CG - visina mjesecne zarade 1114,14 €",,238
76,"Mr Milutin Simović",2012,"POSLANIK SKUPŠTINE CRNE GORE - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 1700 €",,239
