c.company_id,company_name,company_city,p.person_id,person_name,year,shares,nominal_value,obtained_through
72,MVP BJELASICA RADA,Bijelo Polje,86,Aleksandar Bogdanović,2013,0.0021%,12.7823 €,/
30,JADRANSKO BRODOGRADILIŠTE,Herceg Novi,86,Aleksandar Bogdanović,2013,0.0025 %,19.6651 €,/
72,MVP BJELASICA RADA,Bijelo Polje,86,Aleksandar Bogdanović,2014,0.0021%,12.7823 €,/
30,JADRANSKO BRODOGRADILIŠTE,Herceg Novi,86,Aleksandar Bogdanović,2014,0.0025 %,19.6651 €,/
72,MVP BJELASICA RADA,Bijelo Polje,86,Aleksandar Bogdanović,2015,0.0021%,12.7823 €,/
30,JADRANSKO BRODOGRADILIŠTE,Herceg Novi,86,Aleksandar Bogdanović,2015,0.0025 %,19.6651 €,/
69,LUKA BAR,Bar,87,Zoran Srzentić,2014,1050 AKC,"1271,87",/
73,KON.TER.GEN.TER.,Bar,87,Zoran Srzentić,2014,1050 AKC,"1205,93",/
74,MONETA,,88,Osman Subašić,2007,MVP,,
74,MONETA,,88,Osman Subašić,2009,MVP,,
75,MONETA,Podgorica,88,Osman Subašić,2010,VAUČER,/,/
76,MONETA,Plav,88,Osman Subašić,2010,VAUČER,/,/
75,MONETA,Podgorica,88,Osman Subašić,2011,VAUČER,/,/
76,MONETA,Plav,88,Osman Subašić,2011,VAUČER,/,/
75,MONETA,Podgorica,88,Osman Subašić,2012,VAUČER,/,/
76,MONETA,Plav,88,Osman Subašić,2012,VAUČER,/,/
75,MONETA,Podgorica,88,Osman Subašić,2013,VAUČER,/,/
76,MONETA,Plav,88,Osman Subašić,2013,VAUČER,/,/
75,MONETA,Podgorica,88,Osman Subašić,2014,VAUČER,/,/
6,HLT FOND,Podgorica,89,Dušanka Džakula Tušup,2010,6 VAUČERA,/,/
77,TREND FOND,Podgorica,89,Dušanka Džakula Tušup,2010,1 VAUČER,/,/
78,"INSTITUT ""IGALO""",Herceg Novi,89,Dušanka Džakula Tušup,2010,48 AKCIJA,/,/
30,JADRANSKO BRODOGRADILIŠTE,Herceg Novi,89,Dušanka Džakula Tušup,2010,26 AKCIJA,/,/
6,HLT FOND,Podgorica,89,Dušanka Džakula Tušup,2011,6 VAUČERA,/,/
77,TREND FOND,Podgorica,89,Dušanka Džakula Tušup,2011,1 VAUČER,/,/
78,"INSTITUT ""IGALO""",Herceg Novi,89,Dušanka Džakula Tušup,2011,48 AKCIJA,/,/
30,JADRANSKO BRODOGRADILIŠTE,Herceg Novi,89,Dušanka Džakula Tušup,2011,26 AKCIJA,/,/
6,HLT FOND,Podgorica,89,Dušanka Džakula Tušup,2012,6 VAUČERA,/,/
77,TREND FOND,Podgorica,89,Dušanka Džakula Tušup,2012,1 VAUČER,/,/
78,"INSTITUT ""IGALO""",Herceg Novi,89,Dušanka Džakula Tušup,2012,48 AKCIJA,/,/
30,JADRANSKO BRODOGRADILIŠTE,Herceg Novi,89,Dušanka Džakula Tušup,2012,26 AKCIJA,/,/
6,HLT FOND,Podgorica,89,Dušanka Džakula Tušup,2013,6 VAUČERA,/,/
77,TREND FOND,Podgorica,89,Dušanka Džakula Tušup,2013,1 VAUČER,/,/
78,"INSTITUT ""IGALO""",Herceg Novi,89,Dušanka Džakula Tušup,2013,48 AKCIJA,/,/
30,JADRANSKO BRODOGRADILIŠTE,Herceg Novi,89,Dušanka Džakula Tušup,2013,26 AKCIJA,/,/
30,JADRANSKO BRODOGRADILIŠTE,Herceg Novi,89,Dušanka Džakula Tušup,2014,26 AKCIJA,/,/
79,MAXEMIMA DOO,Berane,91,Dragoslav Šćekić,2010,OSNIVAČ,/,PRENEŠENO
80,/,Berane,91,Dragoslav Šćekić,2011,/,/,/
80,/,Berane,91,Dragoslav Šćekić,2012,/,/,/
81,INSTITUT IGALO,Herceg Novi,95,Milan Obradović,2009,MVP,,
82,"INSTITUT ""IGALO""",Herceg Novi,95,Milan Obradović,2010,45,,
83,MJEŠOVITO,Herceg Novi,95,Milan Obradović,2010,VAUČERI,,
32,BRODOGRADILIŠTE BIJELA,Herceg Novi,95,Milan Obradović,2010,VAUČERI,,
82,"INSTITUT ""IGALO""",Herceg Novi,95,Milan Obradović,2011,45,,
83,MJEŠOVITO,Herceg Novi,95,Milan Obradović,2011,VAUČERI,,
32,BRODOGRADILIŠTE BIJELA,Herceg Novi,95,Milan Obradović,2011,VAUČERI,,
84,ATLAS MONT,Podgorica,96,Vujica Lazović,2014,"20 AKC (0,00954610 %)","6 734,5306",/
85,EURO FOND,Podgorica,96,Vujica Lazović,2014,"10 AKC (0,00367432 %)",6 740,/
86,INSTITUT SIMO MILOŠEVIĆ,Herceg Novi,96,Vujica Lazović,2014,"29 AKC (0,00758465%)","4 493,1701",/
87,KAPG,Podgorica,96,Vujica Lazović,2014,"840 AKC (0,00791191%)","4 242,84",/
88,KONTEJ.TERMINALI,Podgorica,96,Vujica Lazović,2014,"888 AKC (0,00156430%)","1 019,868",/
,GEN.TERETI,,96,Vujica Lazović,,,,
69,LUKA BAR,Bar,96,Vujica Lazović,2014,"888 AKC (0,00156430%)","1 075,6344",/
89,LUKA KOTOR,Kotor,96,Vujica Lazović,2014,"899AKC (0,21747387%)","2 160,5667",/
90,MARINA BAR,Bar,96,Vujica Lazović,2014,"390 AKC (0,02566838)","2 259,114",/
91,PLANTAŽE 13. JUL,Podgorica,96,Vujica Lazović,2014,"3492 AKC (0,00194805%)","1 785,4596",/
92,AD IMAKO,Bijelo Polje,100,Nataša Vuković,2013,350,/,/
93,TREND,Podgorica,101,Luið Škrelja,2010,6 VAUČERA,/,/
93,TREND,Podgorica,102,Luiđ Škrelja,2010,6 VAUČERA,/,/
93,TREND,Podgorica,101,Luið Škrelja,2011,6 VAUČERA,/,/
93,TREND,Podgorica,102,Luiđ Škrelja,2011,6 VAUČERA,/,/
93,TREND,Podgorica,101,Luið Škrelja,2012,6 VAUČERA,/,/
93,TREND,Podgorica,102,Luiđ Škrelja,2012,6 VAUČERA,/,/
93,TREND,Podgorica,101,Luið Škrelja,2013,6 VAUČERA,/,/
93,TREND,Podgorica,102,Luiđ Škrelja,2013,6 VAUČERA,/,/
93,TREND,Podgorica,101,Luið Škrelja,2014,6 VAUČERA,/,/
93,TREND,Podgorica,102,Luiđ Škrelja,2014,6 VAUČERA,/,/
94,VAUČER,MVP,104,Fatmir Gjeka,2005,,,
75,MONETA,Podgorica,104,Fatmir Gjeka,2015,5000 (VAUČER),"564,20",/
95,"""ACOS"" DOO",Rožaje,105,Almer H. Kalač,2012,,,
95,"""ACOS"" DOO",Rožaje,105,Almer H. Kalač,2013,,,
96,"""ACOS"" DOO",Rožaje,105,Almer H. Kalač,2014,100%,/,PRENESENO PRAVO SM
6,HLT FOND,Podgorica,105,Almer H. Kalač,2014,5389,"850,34",/
96,"""ACOS"" DOO",Rožaje,105,Almer H. Kalač,2015,100%,/,PRENESENO PRAVO SM
6,HLT FOND,Podgorica,105,Almer H. Kalač,2015,5389,"850,34",/
75,MONETA,Podgorica,105,Almer H. Kalač,2015,1786 AKC,"255,64",/
97,"DOO ""MATIGOR TRADE""TRADE 100 %",Budva,107,Srđan Milić,2006,100%,,
,"DOO "" NAR """,Budva,107,Srđan Milić,2006,,,
97,"DOO ""MATIGOR TRADE""TRADE 100 %",Budva,108,Srđan Milić,2006,100%,,
,"DOO "" NAR """,Budva,108,Srđan Milić,2006,,,
98,"DOO ""MATIGOR TRADE""(100 %)",Budva,107,Srđan Milić,2007,,,
,"DOO ""MAR"" (100 %)",Budva,107,Srđan Milić,2007.0,100%,,
98,"DOO ""MATIGOR TRADE""(100 %)",Budva,108,Srđan Milić,2007,,,
,"DOO ""MAR""",Budva,108,Srđan Milić,2007,100%,,
99,"DOO ""MATIGOR TRADE""(100 %)",Budva,107,Srđan Milić,2008,,,
100,"DOO ""MAR""",Budva,107,Srđan Milić,2008,100%,,
99,"DOO ""MATIGOR TRADE""(100 %)",Budva,108,Srđan Milić,2008,,,
100,"DOO ""MAR"" (100 %)",Budva,108,Srđan Milić,2008,,,
101,"DOO ""MATILOR TRADE""",Budva,107,Srđan Milić,2009,,,
101,"DOO ""MATILOR TRADE""",Budva,108,Srđan Milić,2009,,,
102,DOO MATICOR TRADE,Budva,107,Srđan Milić,2010,100 %,/,/
103,DOO NAR,Budva,107,Srđan Milić,2010,100 %,/,/
102,DOO MATICOR TRADE,Budva,108,Srđan Milić,2010,100 %,/,/
103,DOO NAR,Budva,108,Srđan Milić,2010,100 %,/,/
102,DOO MATICOR TRADE,Budva,107,Srđan Milić,2011,100 %,/,/
103,DOO NAR,Budva,107,Srđan Milić,2011,100 %,/,/
102,DOO MATICOR TRADE,Budva,108,Srđan Milić,2011,100 %,/,/
103,DOO NAR,Budva,108,Srđan Milić,2011,100 %,/,/
102,DOO MATICOR TRADE,Budva,107,Srđan Milić,2012,100 %,/,/
103,DOO NAR,Budva,107,Srđan Milić,2012,100 %,/,/
102,DOO MATICOR TRADE,Budva,108,Srđan Milić,2012,100 %,/,/
103,DOO NAR,Budva,108,Srđan Milić,2012,100 %,/,/
102,DOO MATICOR TRADE,Budva,107,Srđan Milić,2013,100 %,/,/
103,DOO NAR,Budva,107,Srđan Milić,2013,100 %,/,/
102,DOO MATICOR TRADE,Budva,108,Srđan Milić,2013,100 %,/,/
103,DOO NAR,Budva,108,Srđan Milić,2013,100 %,/,/
104,DOO MATIGOR TRADE,Budva,107,Srđan Milić,2014,100 %,/,/
103,DOO NAR,Budva,107,Srđan Milić,2014,100 %,/,/
104,DOO MATIGOR TRADE,Budva,108,Srđan Milić,2014,100 %,/,/
103,DOO NAR,Budva,108,Srđan Milić,2014,100 %,/,/
105,MONTEX,Nikšić,110,Branko Čavor,2010,330 AKCIJA,/,/
105,MONTEX,Nikšić,110,Branko Čavor,2011,330 AKCIJA,/,/
105,MONTEX,Nikšić,110,Branko Čavor,2012,330 AKCIJA (1 VAUČER),/,/
105,MONTEX,Nikšić,110,Branko Čavor,2013,330 AKCIJA (1 VAUČER),/,/
105,MONTEX,Nikšić,110,Branko Čavor,2014,990,/,/
106,MMK STANDARD,Nikšić,110,Branko Čavor,2014,9,/,/
107,ŽELJEZARA,Nikšić,110,Branko Čavor,2014,87,/,/
108,INSTIT.METALURGIJE,Nikšić,110,Branko Čavor,2014,17,/,/
109,AD RADVENT,Nikšić,110,Branko Čavor,2014,8,/,/
110,"""ŽITOPRODUKT""(0",Pljevlja,113,Zoran Gospić,2007,"0,0012",,
111,"""ŽITOPRODUKT""(0",Pljevlja,113,Zoran Gospić,2007,"0,0012",,
112,ŽITOPRODUKT,Pljevlja,113,Zoran Gospić,2010,0.0014,100,
113,JADRANSKO BRODOG.,Herceg Novi,113,Zoran Gospić,2010,0.0010,932,
45,TELEKOM,Podgorica,113,Zoran Gospić,2010,0.0010,1286,
114,ŽELJEZNICA CG,Podgorica,113,Zoran Gospić,2010,0.0025,299,
